url,title,price,area,address,description,source
https://tromoi.com/phong-tro/nha-tro-297-20-phan-huy-ich-phuong-14-go-vap,"Nhà Trọ 297/20 Phan Huy Ích, Phường 14, Gò Vấp",2300000,25m²,"Phan Huy Ích, 14, Gò Vấp, Hồ Chí Minh","-Địa chỉ: 297/20 Phan Huy Ích, Phường 14, Gò Vấp -Giá: 2tr3/Tháng -Phòng có gác lửng cao, vệ sinh riêng, hẽm rộng, ô tô vào được Dịch vụ: Điện: 3k5 Nước: 30k/Người/Tháng -Phòng chưa có nội thất, có thể yêu cầu chủ gắn (Tính thêm phí) -Khu vực yên tĩnh, an ninh tốt, có thể dọn vào ở ngay -Thích hợp ở cho gia đình, nhân viên, sinh viên -Gần ĐH Công nghiệp TPHCM, CĐ Văn Lang -Thuận tiện di chuyển: Quận Tân Bình, Phú Nhuận, Bình Thạnh, Quận 12",tromoi.com
https://tromoi.com/phong-tro/nha-tro-557-14-huong-lo-3-binh-hung-hoa-binh-tan,"Nhà Trọ 557/14 Hương Lộ 3, Bình Hưng Hoà, Bình Tân",3700000,30m²,"Hương lộ 3, Bình Hưng Hòa, Bình Tân, Hồ Chí Minh","CHÍNH CHỦ CHO THUÊ PHÒNG TRỌ TẠI QUẬN BÌNH TÂN -Địa chỉ : 557/14 Hương Lộ 3, Bình Hưng Hòa, Bình Tân -Giá: 3tr7-4tr1, Hiện trống 7 phòng -Nước: 100k/Người, Xe: 100k/Chiếc, Dịch vụ: 100k/Người -Nội thất: Máy lạnh, Quạt, Kệ bếp, Tủ đồ, Vệ sinh riêng, Gác lửng -Có khu giặt, phơi đồ riêng, rộng rãi, thoáng mát -Tòa nhà trang bị thang máy xịn xò, PCCC cao cấp, Bãi xe riêng rộng rãi -Ra vào khóa vân tay, Khu vực an ninh cao, camera 24/7 -Gần trường CĐ Y Dược Sài Gòn, CĐ Quốc tế TP.HCM (ICH), CĐ Nông nghiệp Nam Bộ -Giao thông thuận tiện, phù hợp đi lại cho việc đi học, đi làm -Thích hợp ở cho sinh viên, nhân viên văn phòng, người đi làm -Di chuyển nhanh qua quận 6, quận 8, quận 11, Bình Tân -Liên hệ xem phòng: 0948944100 Anh Hảo",tromoi.com
https://tromoi.com/phong-tro/nha-tro-nu-2695-pham-the-hien-phuong-binh-dong-quan-8,PHÒNG NỮ - 2 CỬA SỔ - BAN CÔNG RỘNG - WC RIÊNG – CHỈ TÍNH ĐIỆN NƯỚC,5700000,40m²,"Phạm Thế Hiển, 7, Quận 8, Hồ Chí Minh","PHÒNG TRỌ DÀNH CHO NỮ TẠI QUẬN 8 - Địa chỉ : 2695 Phạm Thế Hiển, Phường Bình Đông, Quận 8 - Giá: 5tr7, Hiện trống 5 phòng (2 Nữ 2xe) - Nhà có 5 lầu, mỗi lầu 1 phòng, riêng tư như căn hộ mini - Giờ giấc tự do, Không chung chủ, camera 24/7 - Khóa vân tay, PCCC cao cấp, an ninh, trật tự - Vệ sinh riêng từng phòng, Bếp riêng, máy giặt riêng, tủ lạnh riêng - Ban công rộng thoáng , 2 cửa sổ đầy nắng gió - Điện 4k/kw, Nước 100k/ng, Free : Phí dịch vụ, wifi , rác - Gần ĐH Văn Hiến, ĐH Kinh tế, ĐH Y Khoa Phạm Ngọc Thạch, Nằm giữa UEH – B (5km) & UEH – N (5km), chỉ 8p đi xe máy - Phù hợp cho sinh viên, nhân viên văn phòng đi làm - Đi Quận 1,3,5,7 ~15 phút, đi Bình Thạnh, Tân Bình, Tân Phú ~ 35phút - Liên hệ xem phòng: 0858906756 Chị Hương KHÔNG NUÔI PET",tromoi.com
https://tromoi.com/phong-tro/nha-tro-bao-dung-tai-duong-bui-thi-xuan-phuong-2-quan-tan-binh-ho-chi-minh,"Nhà Trọ Bảo Dung Tại Đường Bùi Thị Xuân, Phường 2, Quận Tân Bình, Hồ Chí Minh.",2700000,15m²,"Bùi Thị Xuân, 2, Tân Bình, Hồ Chí Minh","PHÒNG TRỌ SẠCH ĐẸP - AN NINH Địa chỉ: 120/12 Đường Bùi Thị Xuân, Phường 2, Quận Tân Bình, TP. HCM Phòng sạch đẹp, thoáng mát, có gác lửng , toilet riêng , cửa sổ đón gió Giờ giấc tự do , có bảo vệ & camera an ninh 24/7 Trang bị: Wifi mạnh , kệ bếp tiện dụng , thiết bị báo cháy Vị trí thuận tiện: 5 phút đi bộ đến chợ Phạm Văn Hai Gần BV Chấn thương chỉnh hình (500m), SVĐ Quân khu 7 Kết nối nhanh đến Phú Nhuận, Q3, Q10, Q1 Xung quanh có Winmart, bệnh viện, nhiều tuyến xe buýt: 08, 28, 30, 65… Diện tích mỗi phòng: 15 - 30m2 Điện : 3.800đ/kWh | Nước : 80.000đ/người/tháng Phòng lớn (P304): 2tr7 Liên hệ xem phòng trực tiếp: 0902 492 015",tromoi.com
https://tromoi.com/phong-tro/nha-tro-so-10-tran-thien-chanh-phuong12-quan-10,"Nhà Trọ Số 10, Trần Thiện Chánh, Phường 12, Quận 10",2000000,20m²,"10 Trần Thiện Chánh, Phường12, Quận 10","CHÍNH CHỦ CHO THUÊ PHÒNG TRỌ TẠI QUẬN 10 -Địa chỉ: Số10 Trần Thiện Chánh, Phường12, Quận 10 -Giá: 2tr-3tr5 (Tùy Phòng) -Liên hệ xem phòng: 0906757203 Chị Phương (Chính Chủ) -Giãn cọc, có thể chia nhiều lần cọc -Hiện đang trống 6 phòng, trọ ở trung tâm mà giá chỉ tầm trung -Điện: 3k5, Nước 50k/Người/Tháng, Rác 20k, Còn Lại Free -Phòng có gác, vệ sinh riêng, cửa sổ, bãi xe riêng, khu phơi đồ riêng -Không giới hạn người ở, khu vực yên tĩnh, an ninh -Giờ giấc tự do, không chung chủ, camera 24/7, PCCC cao cấp -Gần trường ĐH Bách Khoa, ĐH HUFLIT, ĐH Y Khoa Phạm Ngọc Thạch, ĐH Y Dược -Thuận tiện di chuyển qua: Quận 1, Quận 3, Quận 5, Quận 6, Bình Tân, Tân Bình",tromoi.com
https://tromoi.com/phong-tro/nha-tro-178-2-co-giang-quan-1-ho-chi-minh,"Nhà Trọ 178/2 Cô Giang, Quận 1, Hồ Chí Minh",4200000,25m²,"178/2 Cô Giang, Quận 1, Hồ Chí Minh","CHÍNH CHỦ CHO THUÊ PHÒNG TẠI TRUNG TÂM QUẬN 1 -Địa chỉ: 178/2 Cô Giang, Quận 1, Hồ Chí Minh -Hiện đang trống 1 phòng, nằm ngay trung tâm quận 1 -Giá: 4tr2, có thể ở 2-3 người -Liên hệ xem phòng: 0906757203 Chị Phương (Chính Chủ) -Giãn cọc, có thể chia nhiều lần cọc -Điện: 4k, Nước và dịch vụ: 200k/Người/Phòng -Phòng rộng rãi, thoáng mát, sạch sẽ, đầy đủ tiện nghi -Giường, nệm, tủ đồ, kệ bếp, nhà vệ sinh riêng, tủ lạnh -Phòng có giếng trời thoáng mát -Bãi xe riêng, camera 24/7, PCCC đầy đủ -Gần Trường ĐH Mở TPHCM, ĐH Văn Lang, ĐH KHXH và Nhân Văn, ĐH Hoa Sen -Thuận tiện đi học và đi làm, di chuyển nhanh qua quận 3, quận 4, quận 10, quận 5",tromoi.com
https://tromoi.com/phong-tro/nha-tro-341-bui-minh-truc-phuong-6-quan-8-ho-chi-minh,"Nhà Trọ 341 Bùi Minh Trực, Phường 6, Quận 8, Hồ Chí Minh",2300000,40m²,"341 Bùi Minh Trực, Phường 6, Quận 8, Hồ Chí Minh","CHÍNH CHỦ CHO THUÊ PHÒNG TẠI QUẬN 8 -Địa chỉ: 341 Bùi Minh Trực, Phường 6, Quận 8, Hồ Chí Minh -Giá: 2tr3-2tr7, Hiện đang trống 6 phòng -Liên hệ xem phòng: 0906757203 Chị Phương (Chính Chủ) -Giãn cọc, có thể chia nhiều lần cọc -Điện: 3k5/kwh , Nước: 25k/m3, Rác 30k/Phòng, Còn lại miễn phí -Có gác cao, vệ sinh riêng, bãi xe riêng, có ban công phơi đồ rộng -Khu vực an ninh, chủ dễ tính, thân thiện, camera 24/7 -Giờ giấc tự do, không chung chủ, dọn vào ở ngay -Gần ĐH Công nghệ Sài Gòn (STU), ĐH Y Dược CS Quận 8, CĐ Bách khoa Nam Sài Gòn -Thuận tiện di chuyển đi học đi làm, Di chuyển nhanh chóng qua quận: 1, quận 4, quận 6, quận 10",tromoi.com
https://tromoi.com/phong-tro/nha-tro-105-ung-van-khiem-phuong-25-binh-thanh,"Nhà Trọ 105 Ung Văn Khiêm, Phường 25, Bình Thạnh",2800000,100m²,"105 Ung Văn Khiêm, 25, Bình Thạnh, Hồ Chí Minh","CHÍNH CHỦ CHO THUÊ PHÒNG TẠI BÌNH THẠNH -Địa chỉ: 105 Ung Văn Khiêm, Phường 25, Bình Thạnh -Giá: 2tr8-3tr5, Hiện trống 4 phòng, nằm gần các trường đại học -Liên hệ xem phòng: 0906757203 Chị Phương (Chính Chủ) -Điện: 3k5, Nước 25k/m3, Rác 20k/Phòng, còn lại miễn phí -Giãn cọc, có thể chia nhiều lần cọc -Phòng có gác, cửa sổ, vệ sinh riêng, ban công phơi đồ -Bãi xe riêng, PCCC đầy đủ, Camera 24/7 -Giờ giấc tự do, không chung chủ, ưu tiên ở lâu dài -Gần ĐH GTVT, ĐH Hutech, ĐH Quốc Tế Hồng Bàng, ĐH Kinh Tế-Tài Chính -Thuận tiện đi học đi làm, di chuyển nhanh qua quận 3, quận 10, tân bình, quận 2",tromoi.com
https://tromoi.com/phong-tro/nha-tro-so-16-tay-thanh-tan-phu-ho-chi-minh,"Nhà Trọ Số 16, Đường T6, Tây Thạnh, Tân Phú",1300000,20m²,"số 16, đường T6, Tây Thạnh, Tân Phú, Hồ Chí Minh","CHÍNH CHỦ CHO THUÊ PHÒNG TRỌ TẠI QUẬN TÂN PHÚ -Địa Chỉ: Số 16, Đường T6, Tây Thạnh, Tân Phú -Hiện trống 4 phòng 2 phòng KTX, mỗi phòng có 4 và 8 giường, Giá: 1tr3-1tr8 (Đã bao gồm điện nước) 2 phòng đơn, Giá: 4tr5 ( Điện: 3k5, Nước: 100k, Còn lại miễn phí) -Liên hệ xem phòng: 0937749229 Chị Ly -Phòng KTX được trang bị đầy đủ đồ dùng, khu nấu ăn, giặt, bếp, khu phơi, vệ sinh riêng -Nội thất: Tủ lạnh, Quạt treo tường, Máy lạnh, Máy giặt, Máy lọc nước -Có ban công, Chỗ để xe rộng rãi, Phòng trọ Nằm trên mặt tiền đường lớn -Gần Aeon Tân Phú, Các siêu thị, chợ, cửa hàng tiện lợi -Gần ĐH Công Thương, CĐ Công Thương TP.HCM -Di chuyển nhanh qua: Quận Bình Tân, Tân Bình, Quận 6, Quận 11, Quận 12 -Phòng thoáng mát, sạch sẽ, an ninh tốt, khu dân cư yên tĩnh",tromoi.com
https://tromoi.com/phong-tro/nha-tro-so-153-tran-quy-phuong-7-quan-11,"Nhà Trọ Số 153 Trần Quý, Phường 7, Quận 11",2200000,28m²,"153 Trần Quý, Phường 7, Quận 11","CHÍNH CHỦ CHO THUÊ PHÒNG TẠI QUẬN 11 -Địa chỉ: 153 Trần Quý, Phường 7, Quận 11 -Liên hệ: 0906757203 Chị Phương (Chính Chủ) -Giá: 2tr2-2tr8, hiện trống 2 phòng -Phòng rộng rãi ở từ 2-4 người -Giãn cọc, có thể chia nhiều lần cọc -Điện: 3k5, Nước: 50k/Người/Tháng, Rác: 30k, Còn lại miễn phí -Giờ giấc tự do, không chung chủ, khu vực an ninh, yên tĩnh -Phòng không nội thất, có thể yêu cầu chủ gắn( nếu gắn thì thêm tiền vào giá thuê ) -Nhà vệ sinh chung nhưng sạch sẽ, bãi xe riêng -Có khu phơi đồ riêng, sạch sẽ, thông thoáng -Gần ĐH Bách Khoa, ĐH Y Dược, các trung tâm lớn, khu vui chơi, mua sắm -Di chuyển nhanh qua quận 5, quận 6, quận 10, Bình Tân",tromoi.com
